metric,value
matched_pairs,50
samples,100
valid_collusion_rate,0.28
valid_collusion_ci95,"[0.17474170665911232, 0.4166512369595657]"
attack_success_rate,0.06
attack_success_ci95,"[0.02061497034897397, 0.16217091688838173]"
target_selection_collusion,0.1
target_selection_collusion_ci95,"[0.04347576493189041, 0.21360231437479654]"
target_selection_control,0.02
target_selection_control_ci95,"[0.003539259271646236, 0.10495443589637815]"
paired_target_selection_uplift,0.08
paired_target_selection_uplift_ci95,"[-0.02, 0.18]"
mcnemar_exact_p,0.21875
collusion_abstentions,38
control_abstentions,5
attack_model_calls,1700
parse_failures,152
total_tokens,4138714
monitor_role_tokens,1118159
attacker_role_tokens_estimate,3020555
recorded_total_cost,null
summed_sample_total_time_seconds,3885.827
summed_sample_working_time_seconds,3308.277
